pathogen	drug_group	state_id	proportion_nonsusceptible
CoNS	tmpsmx	stateTOE	0.276056
CoNS	tmpsmx	stateUEQ	0.31
CoNS	tmpsmx	stateUMX	0.381885
CoNS	tmpsmx	stateVIE	0.344275
CoNS	tmpsmx	stateVUS	0.28384
CoNS	tmpsmx	stateWPV	0.514329
CoNS	tmpsmx	stateXYX	0.407322
CoNS	tmpsmx	stateYJD	0.29
CoNS	tmpsmx	stateYUW	0.479894
CoNS	tmpsmx	stateYVE	0.366497
CoNS	tmpsmx	stateZWS	0.417279
E. aerogenes	beta_lactam	stateCCZ	0.558631
E. aerogenes	beta_lactam	stateCUX	0.1
E. aerogenes	beta_lactam	stateCWD	0.17
E. aerogenes	beta_lactam	stateCYL	0.740256
E. aerogenes	beta_lactam	stateELN	0.030513
E. aerogenes	beta_lactam	stateEPB	0.514857
E. aerogenes	beta_lactam	stateERZ	0.507018
E. aerogenes	beta_lactam	stateEVG	0.03
E. aerogenes	beta_lactam	stateGKW	0.308456
E. aerogenes	beta_lactam	stateHQX	0.11
E. aerogenes	beta_lactam	stateIJE	0.519217
E. aerogenes	beta_lactam	stateIWK	0.158696
E. aerogenes	beta_lactam	stateJBF	0.100328
E. aerogenes	beta_lactam	stateKFE	0.772782
E. aerogenes	beta_lactam	stateLJC	0.421312
E. aerogenes	beta_lactam	stateLMH	0.164268
E. aerogenes	beta_lactam	stateLWR	0.309667
E. aerogenes	beta_lactam	stateMMO	0.196197
E. aerogenes	beta_lactam	stateNWF	0.064235
E. aerogenes	beta_lactam	stateOUP	0.215132
E. aerogenes	beta_lactam	statePIO	0.132679
E. aerogenes	beta_lactam	statePJJ	0.172276
E. aerogenes	beta_lactam	stateRHV	0.555
E. aerogenes	beta_lactam	stateSHP	0.195022
E. aerogenes	beta_lactam	stateSLZ	0.390513
E. aerogenes	beta_lactam	stateSNB	0.331961
E. aerogenes	beta_lactam	stateTMR	0.347488
E. aerogenes	beta_lactam	stateTOE	0.105
E. aerogenes	beta_lactam	stateUEQ	0.19
E. aerogenes	beta_lactam	stateUMX	0.376546
E. aerogenes	beta_lactam	stateVIE	0.304638
E. aerogenes	beta_lactam	stateWFM	0.08
E. aerogenes	beta_lactam	stateWPV	0.423968
E. aerogenes	beta_lactam	stateXYX	0.701165
E. aerogenes	beta_lactam	stateYJD	0.733333
E. aerogenes	beta_lactam	stateYUW	0.111775
E. aerogenes	beta_lactam	stateYVE	0.379092
E. aerogenes	beta_lactam	stateZWS	0.67862
E. aerogenes	cephalosporin	stateCCZ	0.296638
E. aerogenes	cephalosporin	stateCUX	0.1031
E. aerogenes	cephalosporin	stateCWD	0.116667
E. aerogenes	cephalosporin	stateCYL	0.353397
E. aerogenes	cephalosporin	stateELN	0.02
E. aerogenes	cephalosporin	stateEPB	0.276379
E. aerogenes	cephalosporin	stateERZ	0.155892
E. aerogenes	cephalosporin	stateEVG	0.01
E. aerogenes	cephalosporin	stateGKW	0.167568
E. aerogenes	cephalosporin	stateHQX	0
E. aerogenes	cephalosporin	stateIJE	0.302201
E. aerogenes	cephalosporin	stateIWK	0.284348
E. aerogenes	cephalosporin	stateJBF	0.128764
E. aerogenes	cephalosporin	stateKFE	0.432487
E. aerogenes	cephalosporin	stateLJC	0.175495
E. aerogenes	cephalosporin	stateLMH	0.063361
E. aerogenes	cephalosporin	stateLWR	0.148111
E. aerogenes	cephalosporin	stateMMO	0.133286
E. aerogenes	cephalosporin	stateNWF	0.109059
E. aerogenes	cephalosporin	stateOUP	0.136143
E. aerogenes	cephalosporin	statePIO	0.178601
E. aerogenes	cephalosporin	statePJJ	0.114644
E. aerogenes	cephalosporin	stateRHV	0.29156
E. aerogenes	cephalosporin	stateSHP	0.196362
E. aerogenes	cephalosporin	stateSLZ	0.351051
E. aerogenes	cephalosporin	stateSNB	0.118729
E. aerogenes	cephalosporin	stateTMR	0.182052
E. aerogenes	cephalosporin	stateTOE	0.073333
E. aerogenes	cephalosporin	stateUEQ	0.105
E. aerogenes	cephalosporin	stateUMX	0.245289
E. aerogenes	cephalosporin	stateVIE	0.214643
E. aerogenes	cephalosporin	stateVUS	0.061667
E. aerogenes	cephalosporin	stateWFM	0.04
E. aerogenes	cephalosporin	stateWPV	0.303662
E. aerogenes	cephalosporin	stateXYX	0.256408
E. aerogenes	cephalosporin	stateYJD	0.416667
E. aerogenes	cephalosporin	stateYUW	0.12562
E. aerogenes	cephalosporin	stateYVE	0.287153
E. aerogenes	cephalosporin	stateZWS	0.440194
E. aerogenes	nitrofurantoin	stateCCZ	0.861953
E. aerogenes	nitrofurantoin	stateCUX	0.528172
E. aerogenes	nitrofurantoin	stateCYL	0.863077
E. aerogenes	nitrofurantoin	stateELN	0.847308
E. aerogenes	nitrofurantoin	stateEPB	0.872974
E. aerogenes	nitrofurantoin	stateERZ	0.782836
E. aerogenes	nitrofurantoin	stateEVG	0.5
E. aerogenes	nitrofurantoin	stateGKW	0.895161
E. aerogenes	nitrofurantoin	stateIJE	0.804274
E. aerogenes	nitrofurantoin	stateIWK	0.893478
E. aerogenes	nitrofurantoin	stateJBF	0.885087
E. aerogenes	nitrofurantoin	stateKFE	0.856969
E. aerogenes	nitrofurantoin	stateLJC	0.790845
E. aerogenes	nitrofurantoin	stateLWR	0.752133
E. aerogenes	nitrofurantoin	stateMMO	0.928169
E. aerogenes	nitrofurantoin	stateNWF	0.831209
E. aerogenes	nitrofurantoin	stateOUP	0.567397
E. aerogenes	nitrofurantoin	statePIO	0.621831
E. aerogenes	nitrofurantoin	statePJJ	0.786355
E. aerogenes	nitrofurantoin	stateRHV	0.92
E. aerogenes	nitrofurantoin	stateSHP	0.852868
E. aerogenes	nitrofurantoin	stateSLZ	0.854054
E. aerogenes	nitrofurantoin	stateSNB	0.363618
E. aerogenes	nitrofurantoin	stateSTP	0.687671
E. aerogenes	nitrofurantoin	stateTMR	0.856083
E. aerogenes	nitrofurantoin	stateUMX	0.881049
E. aerogenes	nitrofurantoin	stateVIE	0.682566
E. aerogenes	nitrofurantoin	stateVUS	0.91
E. aerogenes	nitrofurantoin	stateWPV	0.870755
E. aerogenes	nitrofurantoin	stateXYX	0.754229
E. aerogenes	nitrofurantoin	stateYJD	0.87
E. aerogenes	nitrofurantoin	stateYUW	0.792944
E. aerogenes	nitrofurantoin	stateYVE	0.832697
E. aerogenes	nitrofurantoin	stateZWS	0.839974
E. aerogenes	quinolone	stateCCZ	0.030356
E. aerogenes	quinolone	stateCUX	0.016201
E. aerogenes	quinolone	stateCWD	0
E. aerogenes	quinolone	stateCYL	0.037564
E. aerogenes	quinolone	stateELN	0.005256
E. aerogenes	quinolone	stateEPB	0.047407
E. aerogenes	quinolone	stateERZ	0.029649
E. aerogenes	quinolone	stateEVG	0.01614
E. aerogenes	quinolone	stateGKW	0.014147
E. aerogenes	quinolone	stateHQX	0
E. aerogenes	quinolone	stateIJE	0.026518
E. aerogenes	quinolone	stateIWK	0.018522
E. aerogenes	quinolone	stateJBF	0.016967
E. aerogenes	quinolone	stateKFE	0.018207
E. aerogenes	quinolone	stateLJC	0
E. aerogenes	quinolone	stateLMH	0.004835
E. aerogenes	quinolone	stateLWR	0.063233
E. aerogenes	quinolone	stateMMO	0.011268
E. aerogenes	quinolone	stateNWF	0.016765
E. aerogenes	quinolone	stateOUP	0.019597
E. aerogenes	quinolone	statePIO	0.003839
E. aerogenes	quinolone	statePJJ	0.029172
E. aerogenes	quinolone	stateRHV	0.012179
E. aerogenes	quinolone	stateSHP	0.020677
E. aerogenes	quinolone	stateSLZ	0.058642
E. aerogenes	quinolone	stateSNB	0.015233
E. aerogenes	quinolone	stateSTP	0.006781
E. aerogenes	quinolone	stateTMR	0.010112
E. aerogenes	quinolone	stateTOE	0.015
E. aerogenes	quinolone	stateUEQ	0.035
E. aerogenes	quinolone	stateUMX	0.030745
E. aerogenes	quinolone	stateVIE	0.012778
E. aerogenes	quinolone	stateVUS	0
E. aerogenes	quinolone	stateWFM	0
E. aerogenes	quinolone	stateWPV	0.157147
E. aerogenes	quinolone	stateXYX	0.042526
E. aerogenes	quinolone	stateYJD	0.02
E. aerogenes	quinolone	stateYUW	0.02132
E. aerogenes	quinolone	stateYVE	0.017416
E. aerogenes	quinolone	stateZWS	0.183206
E. aerogenes	tmpsmx	stateCCZ	0.026564
E. aerogenes	tmpsmx	stateCUX	0.023799
E. aerogenes	tmpsmx	stateCWD	0.03
E. aerogenes	tmpsmx	stateCYL	0.018974
E. aerogenes	tmpsmx	stateELN	0.014231
E. aerogenes	tmpsmx	stateEPB	0.051157
E. aerogenes	tmpsmx	stateERZ	0.042632
E. aerogenes	tmpsmx	stateEVG	0.075263
E. aerogenes	tmpsmx	stateGKW	0.007719
E. aerogenes	tmpsmx	stateHQX	0
E. aerogenes	tmpsmx	stateIJE	0.018596
E. aerogenes	tmpsmx	stateIWK	0.030261
E. aerogenes	tmpsmx	stateJBF	0.015082
E. aerogenes	tmpsmx	stateKFE	0.041886
E. aerogenes	tmpsmx	stateLJC	0.020396
E. aerogenes	tmpsmx	stateLMH	0
E. aerogenes	tmpsmx	stateLWR	0.074333
E. aerogenes	tmpsmx	stateMMO	0.011268
E. aerogenes	tmpsmx	stateNWF	0.011647
E. aerogenes	tmpsmx	stateOUP	0.019686
E. aerogenes	tmpsmx	statePIO	0
E. aerogenes	tmpsmx	statePJJ	0.03269
E. aerogenes	tmpsmx	stateRHV	0
E. aerogenes	tmpsmx	stateSHP	0.01184
E. aerogenes	tmpsmx	stateSLZ	0.056026
E. aerogenes	tmpsmx	stateSNB	0.014992
E. aerogenes	tmpsmx	stateSTP	0.013562
E. aerogenes	tmpsmx	stateTMR	0.006511
E. aerogenes	tmpsmx	stateTOE	0.02
E. aerogenes	tmpsmx	stateUEQ	0.02
E. aerogenes	tmpsmx	stateUMX	0.029103
E. aerogenes	tmpsmx	stateVIE	0.013307
E. aerogenes	tmpsmx	stateVUS	0.02
E. aerogenes	tmpsmx	stateWFM	0.01
E. aerogenes	tmpsmx	stateWPV	0.124689
E. aerogenes	tmpsmx	stateXYX	0.026915
E. aerogenes	tmpsmx	stateYJD	0
E. aerogenes	tmpsmx	stateYUW	0.025584
E. aerogenes	tmpsmx	stateYVE	0.01604
E. aerogenes	tmpsmx	stateZWS	0.141943
E. cloacae	beta_lactam	stateBFU	0.060552
E. cloacae	beta_lactam	stateCCZ	0.552179
E. cloacae	beta_lactam	stateCUX	0.202957
E. cloacae	beta_lactam	stateCWD	0.17
E. cloacae	beta_lactam	stateCYL	0.60559
E. cloacae	beta_lactam	stateELN	0.08749
E. cloacae	beta_lactam	stateEPB	0.483672
E. cloacae	beta_lactam	stateERZ	0.545336
E. cloacae	beta_lactam	stateEVG	0.16
E. cloacae	beta_lactam	stateGKW	0.37981
E. cloacae	beta_lactam	stateHQX	0.119524
E. cloacae	beta_lactam	stateIJE	0.579258
E. cloacae	beta_lactam	stateIWK	0.2381
E. cloacae	beta_lactam	stateJBF	0.111868
E. cloacae	beta_lactam	stateKFE	0.762225
E. cloacae	beta_lactam	stateLJC	0.56627
E. cloacae	beta_lactam	stateLMH	0.152901
E. cloacae	beta_lactam	stateLWR	0.668661
E. cloacae	beta_lactam	stateMMO	0.16937
E. cloacae	beta_lactam	stateNWF	0.107132
E. cloacae	beta_lactam	stateOUP	0.326289
E. cloacae	beta_lactam	statePIO	0.149298
E. cloacae	beta_lactam	statePJJ	0.142908
E. cloacae	beta_lactam	stateRHV	0.555
E. cloacae	beta_lactam	stateSHP	0.301361
E. cloacae	beta_lactam	stateSLZ	0.377974
E. cloacae	beta_lactam	stateSNB	0.430779
E. cloacae	beta_lactam	stateSTP	0.113927
E. cloacae	beta_lactam	stateTGK	0.02
E. cloacae	beta_lactam	stateTMR	0.442182
E. cloacae	beta_lactam	stateTOE	0.220727
E. cloacae	beta_lactam	stateUEQ	0.18
E. cloacae	beta_lactam	stateUMX	0.322557
E. cloacae	beta_lactam	stateVIE	0.16427
E. cloacae	beta_lactam	stateWFM	0.12
E. cloacae	beta_lactam	stateWPV	0.48446
E. cloacae	beta_lactam	stateXYX	0.634918
E. cloacae	beta_lactam	stateYJD	0.693333
E. cloacae	beta_lactam	stateYUW	0.138958
E. cloacae	beta_lactam	stateYVE	0.353197
E. cloacae	beta_lactam	stateZWS	0.71663
E. cloacae	cephalosporin	stateBFU	0.037707
E. cloacae	cephalosporin	stateCCZ	0.365533
E. cloacae	cephalosporin	stateCUX	0.179802
E. cloacae	cephalosporin	stateCWD	0.13
E. cloacae	cephalosporin	stateCYL	0.315926
E. cloacae	cephalosporin	stateELN	0.052251
E. cloacae	cephalosporin	stateEPB	0.335393
E. cloacae	cephalosporin	stateERZ	0.198568
E. cloacae	cephalosporin	stateEVG	0.01
E. cloacae	cephalosporin	stateGKW	0.221656
E. cloacae	cephalosporin	stateHQX	0.027143
E. cloacae	cephalosporin	stateIJE	0.377285
E. cloacae	cephalosporin	stateIWK	0.339197
E. cloacae	cephalosporin	stateJBF	0.194146
E. cloacae	cephalosporin	stateKFE	0.46234
E. cloacae	cephalosporin	stateLJC	0.338257
E. cloacae	cephalosporin	stateLMH	0.124655
E. cloacae	cephalosporin	stateLWR	0.327337
E. cloacae	cephalosporin	stateMMO	0.302879
E. cloacae	cephalosporin	stateNWF	0.259579
E. cloacae	cephalosporin	stateOUP	0.209602
E. cloacae	cephalosporin	statePIO	0.270301
E. cloacae	cephalosporin	statePJJ	0.121101
E. cloacae	cephalosporin	stateRHV	0.320564
E. cloacae	cephalosporin	stateSHP	0.249861
E. cloacae	cephalosporin	stateSLZ	0.384222
E. cloacae	cephalosporin	stateSNB	0.205361
E. cloacae	cephalosporin	stateSTP	0.144985
E. cloacae	cephalosporin	stateTGK	0.166667
E. cloacae	cephalosporin	stateTMR	0.238624
E. cloacae	cephalosporin	stateTOE	0.13836
E. cloacae	cephalosporin	stateUEQ	0.13
E. cloacae	cephalosporin	stateUMX	0.293168
E. cloacae	cephalosporin	stateVIE	0.148795
E. cloacae	cephalosporin	stateVUS	0.08435
E. cloacae	cephalosporin	stateWFM	0.08
E. cloacae	cephalosporin	stateWPV	0.402308
E. cloacae	cephalosporin	stateXYX	0.204212
E. cloacae	cephalosporin	stateYJD	0.37
E. cloacae	cephalosporin	stateYUW	0.166553
E. cloacae	cephalosporin	stateYVE	0.258695
E. cloacae	cephalosporin	stateZWS	0.561939
E. cloacae	nitrofurantoin	stateBFU	0.727348
E. cloacae	nitrofurantoin	stateCCZ	0.796741
E. cloacae	nitrofurantoin	stateCUX	0.457703
E. cloacae	nitrofurantoin	stateCYL	0.840892
E. cloacae	nitrofurantoin	stateELN	0.530478
E. cloacae	nitrofurantoin	stateEPB	0.699221
E. cloacae	nitrofurantoin	stateERZ	0.738232
E. cloacae	nitrofurantoin	stateEVG	0.6
E. cloacae	nitrofurantoin	stateGKW	0.743898
E. cloacae	nitrofurantoin	stateIJE	0.591301
E. cloacae	nitrofurantoin	stateIWK	0.835753
E. cloacae	nitrofurantoin	stateJBF	0.722557
E. cloacae	nitrofurantoin	stateKFE	0.817363
E. cloacae	nitrofurantoin	stateLJC	0.609345
E. cloacae	nitrofurantoin	stateLMH	0.760829
E. cloacae	nitrofurantoin	stateLWR	0.743327
E. cloacae	nitrofurantoin	stateMMO	0.827378
E. cloacae	nitrofurantoin	stateNWF	0.829104
E. cloacae	nitrofurantoin	stateOUP	0.586523
E. cloacae	nitrofurantoin	statePIO	0.50039
E. cloacae	nitrofurantoin	statePJJ	0.839382
E. cloacae	nitrofurantoin	stateRHV	0.81
E. cloacae	nitrofurantoin	stateSHP	0.67663
E. cloacae	nitrofurantoin	stateSLZ	0.635379
E. cloacae	nitrofurantoin	stateSNB	0.548114
E. cloacae	nitrofurantoin	stateSTP	0.584132
E. cloacae	nitrofurantoin	stateTGK	0.72
E. cloacae	nitrofurantoin	stateTMR	0.68733
E. cloacae	nitrofurantoin	stateTOE	0.95
E. cloacae	nitrofurantoin	stateUMX	0.732342
E. cloacae	nitrofurantoin	stateVIE	0.706845
E. cloacae	nitrofurantoin	stateVUS	0.727372
E. cloacae	nitrofurantoin	stateWPV	0.769321
E. cloacae	nitrofurantoin	stateXYX	0.762797
E. cloacae	nitrofurantoin	stateYJD	0.71
E. cloacae	nitrofurantoin	stateYUW	0.731042
E. cloacae	nitrofurantoin	stateYVE	0.72355
E. cloacae	nitrofurantoin	stateZWS	0.798964
E. cloacae	quinolone	stateBFU	0.01
E. cloacae	quinolone	stateCCZ	0.083008
E. cloacae	quinolone	stateCUX	0.04075
E. cloacae	quinolone	stateCWD	0.04
E. cloacae	quinolone	stateCYL	0.072416
E. cloacae	quinolone	stateELN	0.02251
E. cloacae	quinolone	stateEPB	0.045055
E. cloacae	quinolone	stateERZ	0.030671
E. cloacae	quinolone	stateEVG	0.032195
E. cloacae	quinolone	stateGKW	0.023908
E. cloacae	quinolone	stateHQX	0.015238
E. cloacae	quinolone	stateIJE	0.12978
E. cloacae	quinolone	stateIWK	0.114367
E. cloacae	quinolone	stateJBF	0.022472
E. cloacae	quinolone	stateKFE	0.042814
E. cloacae	quinolone	stateLJC	0.051723
E. cloacae	quinolone	stateLMH	0.018384
E. cloacae	quinolone	stateLWR	0.080325
E. cloacae	quinolone	stateMMO	0.054685
E. cloacae	quinolone	stateNWF	0.103632
E. cloacae	quinolone	stateOUP	0.082565
E. cloacae	quinolone	statePIO	0.050151
E. cloacae	quinolone	statePJJ	0.066867
E. cloacae	quinolone	stateRHV	0.125569
E. cloacae	quinolone	stateSHP	0.079634
E. cloacae	quinolone	stateSLZ	0.051683
E. cloacae	quinolone	stateSNB	0.072683
E. cloacae	quinolone	stateSTP	0.04362
E. cloacae	quinolone	stateTGK	0.28
E. cloacae	quinolone	stateTMR	0.057457
E. cloacae	quinolone	stateTOE	0.024804
E. cloacae	quinolone	stateUEQ	0.09
E. cloacae	quinolone	stateUMX	0.056215
E. cloacae	quinolone	stateVIE	0.026642
E. cloacae	quinolone	stateVUS	0.016526
E. cloacae	quinolone	stateWFM	0.04
E. cloacae	quinolone	stateWPV	0.19618
E. cloacae	quinolone	stateXYX	0.05291
E. cloacae	quinolone	stateYJD	0.02
E. cloacae	quinolone	stateYUW	0.063337
E. cloacae	quinolone	stateYVE	0.050945
E. cloacae	quinolone	stateZWS	0.225668
E. cloacae	tmpsmx	stateBFU	0.04
E. cloacae	tmpsmx	stateCCZ	0.144788
E. cloacae	tmpsmx	stateCUX	0.106531
E. cloacae	tmpsmx	stateCWD	0.05
E. cloacae	tmpsmx	stateCYL	0.109408
E. cloacae	tmpsmx	stateELN	0.138526
E. cloacae	tmpsmx	stateEPB	0.146059
E. cloacae	tmpsmx	stateERZ	0.137561
E. cloacae	tmpsmx	stateEVG	0.075854
E. cloacae	tmpsmx	stateGKW	0.082883
E. cloacae	tmpsmx	stateHQX	0.038095
E. cloacae	tmpsmx	stateIJE	0.123153
E. cloacae	tmpsmx	stateIWK	0.145701
E. cloacae	tmpsmx	stateJBF	0.078885
E. cloacae	tmpsmx	stateKFE	0.103416
E. cloacae	tmpsmx	stateLJC	0.10811
E. cloacae	tmpsmx	stateLMH	0.079972
E. cloacae	tmpsmx	stateLWR	0.124665
E. cloacae	tmpsmx	stateMMO	0.110469
E. cloacae	tmpsmx	stateNWF	0.179526
E. cloacae	tmpsmx	stateOUP	0.120676
E. cloacae	tmpsmx	statePIO	0.093813
E. cloacae	tmpsmx	statePJJ	0.107936
E. cloacae	tmpsmx	stateRHV	0.147365
E. cloacae	tmpsmx	stateSHP	0.114173
E. cloacae	tmpsmx	stateSLZ	0.085435
E. cloacae	tmpsmx	stateSNB	0.115697
E. cloacae	tmpsmx	stateSTP	0.08117
E. cloacae	tmpsmx	stateTGK	0.17
E. cloacae	tmpsmx	stateTMR	0.11434
E. cloacae	tmpsmx	stateTOE	0.07
E. cloacae	tmpsmx	stateUEQ	0.1
E. cloacae	tmpsmx	stateUMX	0.128368
E. cloacae	tmpsmx	stateVIE	0.07643
E. cloacae	tmpsmx	stateVUS	0.056949
E. cloacae	tmpsmx	stateWFM	0.06
E. cloacae	tmpsmx	stateWPV	0.226392
E. cloacae	tmpsmx	stateXYX	0.125381
E. cloacae	tmpsmx	stateYJD	0.14
E. cloacae	tmpsmx	stateYUW	0.112084
E. cloacae	tmpsmx	stateYVE	0.096789
E. cloacae	tmpsmx	stateZWS	0.258623
E. coli	beta_lactam	stateBFU	0.185516
E. coli	beta_lactam	stateCCZ	0.313352
E. coli	beta_lactam	stateCUX	0.26872
E. coli	beta_lactam	stateCWD	0.219446
E. coli	beta_lactam	stateCYL	0.306566
E. coli	beta_lactam	stateELN	0.15647
E. coli	beta_lactam	stateEPB	0.309825
E. coli	beta_lactam	stateERZ	0.206246
E. coli	beta_lactam	stateEVG	0.24701
E. coli	beta_lactam	stateGKW	0.188897
E. coli	beta_lactam	stateHMP	0.356667
E. coli	beta_lactam	stateHQX	0.243775
E. coli	beta_lactam	stateIJE	0.327229
E. coli	beta_lactam	stateIWK	0.273608
E. coli	beta_lactam	stateJBF	0.315132
E. coli	beta_lactam	stateKFE	0.288521
E. coli	beta_lactam	stateLJC	0.252883
E. coli	beta_lactam	stateLMH	0.228047
E. coli	beta_lactam	stateLWR	0.28092
E. coli	beta_lactam	stateMMO	0.380353
E. coli	beta_lactam	stateNWF	0.202175
E. coli	beta_lactam	stateOUP	0.199164
E. coli	beta_lactam	statePIO	0.188143
E. coli	beta_lactam	statePJJ	0.235975
E. coli	beta_lactam	stateQES	0.39
E. coli	beta_lactam	stateRHV	0.535101
E. coli	beta_lactam	stateSHP	0.281696
E. coli	beta_lactam	stateSLZ	0.333956
E. coli	beta_lactam	stateSNB	0.305077
E. coli	beta_lactam	stateSTP	0.376217
E. coli	beta_lactam	stateTGK	0.264058
E. coli	beta_lactam	stateTMR	0.260654
E. coli	beta_lactam	stateTOE	0.194787
E. coli	beta_lactam	stateUEQ	0.283333
E. coli	beta_lactam	stateUMX	0.323248
E. coli	beta_lactam	stateVIE	0.254161
E. coli	beta_lactam	stateVUS	0.250928
E. coli	beta_lactam	stateWFM	0.28
E. coli	beta_lactam	stateWPV	0.3426
E. coli	beta_lactam	stateXYX	0.276414
E. coli	beta_lactam	stateYJD	0.273333
E. coli	beta_lactam	stateYUW	0.279233
E. coli	beta_lactam	stateYVE	0.258235
E. coli	beta_lactam	stateZWS	0.352937
E. coli	cephalosporin	stateBFU	0.059543
E. coli	cephalosporin	stateCCZ	0.118918
E. coli	cephalosporin	stateCUX	0.09012
E. coli	cephalosporin	stateCWD	0.047504
E. coli	cephalosporin	stateCYL	0.136866
E. coli	cephalosporin	stateELN	0.069789
E. coli	cephalosporin	stateEPB	0.140402
E. coli	cephalosporin	stateERZ	0.35194
E. coli	cephalosporin	stateEVG	0.086245
E. coli	cephalosporin	stateGKW	0.040469
E. coli	cephalosporin	stateHMP	0.098
E. coli	cephalosporin	stateHQX	0.091029
E. coli	cephalosporin	stateIJE	0.089079
E. coli	cephalosporin	stateIWK	0.134583
E. coli	cephalosporin	stateJBF	0.089029
E. coli	cephalosporin	stateKFE	0.092759
E. coli	cephalosporin	stateLJC	0.078991
E. coli	cephalosporin	stateLMH	0.044778
E. coli	cephalosporin	stateLWR	0.058192
E. coli	cephalosporin	stateMMO	0.119774
E. coli	cephalosporin	stateNWF	0.07092
E. coli	cephalosporin	stateOUP	0.059685
E. coli	cephalosporin	statePIO	0.052541
E. coli	cephalosporin	statePJJ	0.076633
E. coli	cephalosporin	stateQES	0.075
E. coli	cephalosporin	stateRHV	0.106955
E. coli	cephalosporin	stateSHP	0.074452
E. coli	cephalosporin	stateSLZ	0.09548
E. coli	cephalosporin	stateSNB	0.06514
E. coli	cephalosporin	stateSTP	0.075732
E. coli	cephalosporin	stateTGK	0.066939
E. coli	cephalosporin	stateTMR	0.030231
E. coli	cephalosporin	stateTOE	0.026623
E. coli	cephalosporin	stateUEQ	0.076667
E. coli	cephalosporin	stateUMX	0.101536
E. coli	cephalosporin	stateVIE	0.059042
E. coli	cephalosporin	stateVUS	0.04205
E. coli	cephalosporin	stateWFM	0.06
E. coli	cephalosporin	stateWPV	0.098252
E. coli	cephalosporin	stateXYX	0.046201
E. coli	cephalosporin	stateYJD	0.043333000000000003
E. coli	cephalosporin	stateYUW	0.066136
E. coli	cephalosporin	stateYVE	0.065216
E. coli	cephalosporin	stateZWS	0.146675
E. coli	nitrofurantoin	stateBFU	0.047526
E. coli	nitrofurantoin	stateCCZ	0.050165
E. coli	nitrofurantoin	stateCUX	0.019164
E. coli	nitrofurantoin	stateCWD	0.05
E. coli	nitrofurantoin	stateCYL	0.105695
E. coli	nitrofurantoin	stateELN	0.026888
E. coli	nitrofurantoin	stateEPB	0.053049
E. coli	nitrofurantoin	stateERZ	0.03
E. coli	nitrofurantoin	stateEVG	0.02196
E. coli	nitrofurantoin	stateGKW	0.056132
E. coli	nitrofurantoin	stateHQX	0.080178
E. coli	nitrofurantoin	stateIJE	0.03368
E. coli	nitrofurantoin	stateIWK	0.087608
E. coli	nitrofurantoin	stateJBF	0.035381
E. coli	nitrofurantoin	stateKFE	0.021404
E. coli	nitrofurantoin	stateLJC	0.038439
E. coli	nitrofurantoin	stateLMH	0.061497
E. coli	nitrofurantoin	stateLWR	0.03544
E. coli	nitrofurantoin	stateMMO	0.093195
E. coli	nitrofurantoin	stateNWF	0.063635
E. coli	nitrofurantoin	stateOUP	0.052791
E. coli	nitrofurantoin	statePIO	0.040994
E. coli	nitrofurantoin	statePJJ	0.032559
E. coli	nitrofurantoin	stateQES	0.02
E. coli	nitrofurantoin	stateRHV	0.09
E. coli	nitrofurantoin	stateSHP	0.054546
E. coli	nitrofurantoin	stateSLZ	0.05
E. coli	nitrofurantoin	stateSNB	0.059524
E. coli	nitrofurantoin	stateSTP	0.082406
E. coli	nitrofurantoin	stateTGK	0.080027
E. coli	nitrofurantoin	stateTMR	0.047431
E. coli	nitrofurantoin	stateTOE	0.011559
E. coli	nitrofurantoin	stateUMX	0.054763
E. coli	nitrofurantoin	stateVIE	0.051234
E. coli	nitrofurantoin	stateVUS	0.04
E. coli	nitrofurantoin	stateWFM	0.02
E. coli	nitrofurantoin	stateWPV	0.086937
E. coli	nitrofurantoin	stateXYX	0.029152
E. coli	nitrofurantoin	stateYJD	0.06
E. coli	nitrofurantoin	stateYUW	0.02638
E. coli	nitrofurantoin	stateYVE	0.04592
E. coli	nitrofurantoin	stateZWS	0.083128
E. coli	quinolone	stateBFU	0.166244
E. coli	quinolone	stateCCZ	0.255483
E. coli	quinolone	stateCUX	0.202691
E. coli	quinolone	stateCWD	0.171087
E. coli	quinolone	stateCYL	0.349577
E. coli	quinolone	stateELN	0.196237
E. coli	quinolone	stateEPB	0.242581
E. coli	quinolone	stateERZ	0.229318
E. coli	quinolone	stateEVG	0.161515
E. coli	quinolone	stateGKW	0.194906
E. coli	quinolone	stateHMP	0.245
E. coli	quinolone	stateHQX	0.239748
E. coli	quinolone	stateIJE	0.275161
E. coli	quinolone	stateIWK	0.304325
E. coli	quinolone	stateJBF	0.115596
E. coli	quinolone	stateKFE	0.131938
E. coli	quinolone	stateLJC	0.203595
E. coli	quinolone	stateLMH	0.170763
E. coli	quinolone	stateLWR	0.21184
E. coli	quinolone	stateMMO	0.255366
E. coli	quinolone	stateNWF	0.200314
E. coli	quinolone	stateOUP	0.163962
E. coli	quinolone	statePIO	0.138841
E. coli	quinolone	statePJJ	0.22585
E. coli	quinolone	stateQES	0.17
E. coli	quinolone	stateRHV	0.324784
E. coli	quinolone	stateSHP	0.194338
E. coli	quinolone	stateSLZ	0.328595
E. coli	quinolone	stateSNB	0.182274
E. coli	quinolone	stateSTP	0.181481
E. coli	quinolone	stateTGK	0.162872
